x,z,r00,r02,v_l,v_r
1098.41,-4948.86,0.90502,-0.425369,5.23109,5.18952
1097,-4945.87,0.903886,-0.427774,5.44994,5.07233
1095.57,-4942.85,0.901294,-0.433209,5.50611,5.11831
1094.12,-4939.92,0.890868,-0.454261,5.55727,5.16931
1092.54,-4936.91,0.87932,-0.476231,5.61206,5.21635
1090.87,-4933.91,0.867187,-0.497982,5.66283,5.26649
1089.16,-4931.01,0.854708,-0.51911,5.71336,5.31686
1087.31,-4928.04,0.841266,-0.540622,5.7578,5.372
1085.36,-4925.09,0.827337,-0.561705,5.79477,5.43212
1083.39,-4922.26,0.813774,-0.581181,5.84338,5.48059
1081.27,-4919.35,0.800066,-0.599911,5.87244,5.54597
1079.06,-4916.48,0.786147,-0.618039,5.91363,5.59799
1076.85,-4913.71,0.773532,-0.633757,5.96029,5.64453
1074.48,-4910.88,0.760572,-0.649253,5.99481,5.70177
1072.04,-4908.08,0.747448,-0.66432,6.0338,5.75343
1069.61,-4905.39,0.735324,-0.677715,6.07918,5.7987
1067.03,-4902.63,0.723045,-0.690801,6.09271,5.87324
1064.38,-4899.9,0.710958,-0.703234,6.11828,5.93448
1061.75,-4897.28,0.701527,-0.712643,6.16172,5.97784
1058.98,-4894.59,0.693095,-0.720846,6.1965,6.02909
1056.17,-4891.91,0.684684,-0.72884,6.23011,6.08094
1053.3,-4889.24,0.67697,-0.73601,6.27287,6.12364
1050.48,-4886.67,0.670134,-0.74224,6.31146,6.17003
1047.52,-4884.02,0.663074,-0.748554,6.33903,6.2268
1044.61,-4881.47,0.65666,-0.754186,6.37664,6.27311
1041.56,-4878.83,0.651292,-0.758827,6.41862,6.31505
1038.48,-4876.2,0.646249,-0.763126,6.45563,6.36169
1035.46,-4873.66,0.641395,-0.767211,6.49263,6.40795
1032.3,-4871.04,0.636842,-0.770994,6.53428,6.44956
1029.11,-4868.41,0.632654,-0.774435,6.56541,6.50137
1025.88,-4865.79,0.628607,-0.777723,6.60689,6.54283
1022.73,-4863.25,0.625514,-0.780213,6.65951,6.57306
1019.44,-4860.62,0.622135,-0.78291,6.69569,6.61949
1016.11,-4857.99,0.617874,-0.786277,6.72627,6.6711
1012.75,-4855.37,0.614198,-0.789152,6.76738,6.71218
1009.47,-4852.82,0.611494,-0.791249,6.81416,6.74751
1006.05,-4850.18,0.608605,-0.793474,6.84986,6.7936
1002.6,-4847.55,0.605297,-0.795999,6.89076,6.83448
999.224,-4844.99,0.602517,-0.798106,6.93176,6.87512
995.712,-4842.35,0.599635,-0.800273,6.97856,6.90978
