x,z,r00,r02,v_l,v_r
-721.783,-3323.52,0.442987,-0.896528,17.0463,17.2019
-731.264,-3318.77,0.453022,-0.891499,17.2857,17.0298
-741.014,-3313.76,0.458223,-0.888837,17.1349,17.2285
-750.506,-3308.96,0.446566,-0.894751,17.1586,17.2525
-760.333,-3304.02,0.45192,-0.892059,17.1824,17.2763
-770.144,-3299.01,0.457274,-0.889326,16.9599,17.5485
-779.936,-3293.94,0.466992,-0.884262,16.9839,17.5743
-789.31,-3288.78,0.498958,-0.866626,17.0087,17.5992
-798.796,-3283.09,0.531341,-0.847158,17.0331,17.6246
-808.073,-3277.04,0.562978,-0.826472,17.1487,17.5574
-816.849,-3270.84,0.591724,-0.806141,17.1728,17.5816
-825.722,-3264.16,0.612605,-0.790389,17.2588,17.5432
-834.429,-3257.24,0.632107,-0.774881,17.3294,17.5198
-842.734,-3250.35,0.644951,-0.764224,17.3529,17.5434
-851.217,-3243.11,0.654217,-0.756307,17.4397,17.5034
-859.622,-3235.76,0.662438,-0.749117,17.4949,17.4949
-867.726,-3228.56,0.664914,-0.74692,17.7845,17.275
-876.093,-3221.12,0.661099,-0.750299,17.6011,17.5052
-884.622,-3213.83,0.639468,-0.768817,17.6406,17.5123
-893.01,-3206.89,0.634634,-0.772813,17.8634,17.353
-901.734,-3199.79,0.625289,-0.780393,17.6476,17.6154
-910.354,-3193.09,0.603339,-0.797485,17.6384,17.6707
-919.36,-3186.29,0.602211,-0.798337,17.8186,17.5502
-928.377,-3179.47,0.601458,-0.798904,17.6913,17.7236
-937.188,-3172.94,0.590024,-0.807386,17.7142,17.7466
-946.333,-3166.25,0.591694,-0.806163,17.7371,17.7696
-955.476,-3159.52,0.593366,-0.804933,17.7438,17.8087
-964.616,-3152.77,0.595296,-0.803506,17.9219,17.6882
-973.462,-3146.19,0.596611,-0.80253,17.8116,17.8442
-982.655,-3139.46,0.586701,-0.809804,17.8344,17.867
-991.889,-3132.75,0.588389,-0.808578,17.857,17.8897
-1000.83,-3126.23,0.590024,-0.807386,17.8797,17.9124
-1010.35,-3119.26,0.591767,-0.806109,17.886,17.9515
-1019.58,-3112.47,0.593718,-0.804673,18.164,17.7403
-1028.51,-3105.86,0.593051,-0.805165,17.942,18.0077
-1037.85,-3099.16,0.575011,-0.818146,17.2569,18.7511
-1047.24,-3092.52,0.590041,-0.807373,17.2591,18.8102
-1055.96,-3085.55,0.662626,-0.748951,17.3315,18.8031
-1064.24,-3077.51,0.733051,-0.680173,17.2585,18.94
-1071.72,-3068.7,0.795044,-0.606551,17.403,18.8552
-1078.08,-3059.46,0.852651,-0.52248,17.4322,18.8849
-1083.87,-3048.98,0.898743,-0.438477,17.7147,18.6537
-1088.37,-3038.67,0.932697,-0.360661,17.8788,18.5372
-1092.15,-3028.05,0.95124,-0.308451,17.9022,18.5609
-1095.53,-3016.89,0.963391,-0.2681,18.2204,18.2874
-1098.35,-3005.95,0.97244,-0.233153,18.3263,18.2257
-1101.14,-2994.22,0.973076,-0.230483,18.3484,18.2478
-1103.78,-2983.2,0.97162,-0.236547,18.4546,18.1861
-1106.59,-2971.83,0.969668,-0.244427,18.5604,18.1251
-1109.55,-2960.49,0.964888,-0.262663,18.6001,18.1306
-1112.78,-2949.2,0.957098,-0.289766,18.872,17.9238
-1116.23,-2938.34,0.946727,-0.322038,18.6393,18.2021
-1120.34,-2927.31,0.927378,-0.374125,18.5782,18.3073
-1124.89,-2916.43,0.917212,-0.3984,18.6002,18.3292
-1129.53,-2905.98,0.910391,-0.413749,18.5375,18.4355
-1134.66,-2894.93,0.903572,-0.428436,18.4911,18.5252
-1139.6,-2884.58,0.901436,-0.432913,18.5128,18.5469
-1144.72,-2873.9,0.902378,-0.430946,18.5515,18.5515
-1149.82,-2863.19,0.90317,-0.429284,18.7087,18.4484
-1154.92,-2852.47,0.902049,-0.431634,18.6002,18.6002
-1160.14,-2841.78,0.895892,-0.444272,18.6217,18.6217
-1165.43,-2831.11,0.895892,-0.444272,18.6603,18.6259
-1170.72,-2820.43,0.895739,-0.444579,18.9233,18.4252
-1175.87,-2810.08,0.893127,-0.449804,18.6786,18.713
-1181.41,-2799.49,0.88087,-0.473357,18.6999,18.7344
-1187.06,-2788.94,0.881912,-0.471415,18.7212,18.7557
-1192.7,-2778.37,0.882951,-0.469465,18.5707,18.9495
-1198.31,-2767.77,0.885591,-0.464466,18.0429,19.5312
-1203.76,-2757.07,0.901447,-0.432889,18.0707,19.5595
-1208.35,-2746.37,0.937502,-0.347979,18.0427,19.6455
-1212.03,-2734.9,0.966649,-0.256106,18.0827,19.6631
-1214.55,-2723.11,0.987757,-0.156,18.1113,19.6921
-1215.87,-2711.11,0.998461,-0.0554606,18.2662,19.5905
-1215.98,-2699.39,0.999202,0.0399461,18.5898,19.3131
-1215.02,-2687.32,0.992963,0.118427,18.6122,19.3357
-1213.32,-2675.31,0.986418,0.164255,18.9425,19.0477
-1211.15,-2663.75,0.979079,0.203482,19.1215,18.9107
-1208.64,-2651.85,0.978345,0.206981,19.1424,18.9316
-1206.2,-2639.93,0.981048,0.193765,19.4254,18.6996
-1203.98,-2628.33,0.984415,0.175859,19.3639,18.8046
-1202.1,-2616.28,0.991301,0.131614,19.3856,18.8262
-1200.7,-2604.14,0.995376,0.0960542,19.5013,18.7607
-1199.75,-2592.33,0.998218,0.0596736,19.3638,18.9409
-1199.29,-2580.1,0.99988,0.0154901,19.3849,18.962
-1199.26,-2567.84,0.999933,-0.0115745,19.3444,19.0449
-1199.54,-2555.95,0.999332,-0.0365555,19.2508,19.1797
-1200.1,-2543.68,0.998572,-0.0534228,19.2714,19.2002
-1200.78,-2531.4,0.998318,-0.0579676,19.185,19.3276
-1201.49,-2519.49,0.998158,-0.0606637,19.1876,19.366
-1202.19,-2507.19,0.998689,-0.051198,19.6221,19.0047
-1202.76,-2494.86,0.998859,-0.0477464,19.2091,19.4592
-1203.54,-2482.91,0.996873,-0.0790239,19.2471,19.462
-1204.43,-2470.57,0.997988,-0.0634078,19.6842,19.0979
-1205.14,-2458.2,0.998335,-0.0576742,19.3038,19.5193
-1206.07,-2445.82,0.9962,-0.0870974,19.2881,19.5758
-1207.04,-2433.83,0.997317,-0.0732043,19.3006,19.6269
-1207.84,-2421.41,0.998517,-0.0544473,19.3565,19.6365
-1208.4,-2408.97,0.99942,-0.0340451,19.7746,19.2929
-1208.72,-2396.88,0.999705,-0.0243029,19.3738,19.7347
-1209.2,-2384.39,0.998909,-0.046692,19.4294,19.7195
-1209.65,-2371.88,0.999704,-0.0243214,19.846,19.3721
-1209.85,-2359.74,0.999902,-0.013976,19.502,19.7564
-1210.19,-2347.19,0.999315,-0.0370122,19.5035,19.795
-1210.56,-2334.64,0.999793,-0.020369,20.0296,19.3444
-1210.72,-2322.45,0.999927,-0.0120688,19.5976,19.8167
-1211.12,-2309.86,0.998901,-0.0468632,19.5807,19.8734
-1211.62,-2297.65,0.999465,-0.0327001,19.9681,19.5508
-1211.92,-2285.02,0.999778,-0.0210675,19.6693,19.8894
-1212.34,-2272.38,0.999143,-0.0413889,19.6339,19.9645
-1212.78,-2259.73,0.999657,-0.0262052,19.69,19.9478
-1212.99,-2247.46,0.99998,-0.00629477,20.0227,19.6783
-1212.97,-2234.77,0.999991,0.00417734,19.7227,20.0178
-1213.05,-2222.06,0.999934,-0.011472,19.7788,20.0008
-1213.08,-2209.35,0.999978,0.00668228,20.112,19.7303
-1212.91,-2196.61,0.99989,0.0148491,19.8295,20.052
-1212.86,-2184.26,0.999996,-0.00277496,19.8672,20.053
-1212.81,-2171.5,0.999938,0.011096,20.3442,19.6489
-1212.61,-2158.72,0.9999,0.0141751,19.9045,20.1279
-1212.68,-2146.33,0.999767,-0.0215826,19.9607,20.1101
-1212.87,-2133.52,0.999968,-0.00802553,20.3129,19.8212
-1212.92,-2120.69,0.999988,-0.00487045,20.0115,20.1612
-1213.15,-2108.25,0.999581,-0.0289375,19.993,20.218
-1213.47,-2095.4,0.999827,-0.0186072,20.3089,19.9626
-1213.62,-2082.53,0.999951,-0.00992179,19.9863,20.3237
-1213.87,-2070.04,0.999699,-0.0245531,20.0237,20.3246
-1214.05,-2057.15,0.999994,-0.00332678,20.4773,19.9416
-1213.99,-2044.64,0.999963,0.00863554,20.078,20.3793
-1214.08,-2031.7,0.999851,-0.0172776,20.1342,20.361
-1214.19,-2018.75,0.999999,0.00126115,20.4554,20.1001
-1214.09,-2006.2,0.999943,0.0106688,20.1455,20.448
-1214.09,-1993.22,0.999985,-0.00549256,20.2019,20.4294
-1214.05,-1980.64,0.99992,0.0126672,20.5169,20.1739
-1213.79,-1967.63,0.999743,0.0226639,20.2881,20.4403
-1213.63,-1954.61,0.999984,0.00566459,20.2877,20.4781
-1213.5,-1941.58,0.999875,0.0157844,20.8013,20.0378
-1213.22,-1928.53,0.99983,0.0184319,20.324,20.553
-1213.27,-1915.47,0.99979,-0.0205091,20.3806,20.5336
-1213.45,-1902.79,0.999975,-0.0070738,20.7172,20.2573
-1213.49,-1889.7,0.999994,-0.00340791,20.3528,20.6591
-1213.71,-1876.59,0.999683,-0.0251757,20.3902,20.6588
-1213.91,-1863.87,0.999978,-0.00656658,20.8912,20.2298
-1213.9,-1850.74,0.999999,0.00132179,20.4255,20.733
-1214.12,-1837.99,0.99955,-0.0299926,20.4629,20.7326
-1214.4,-1824.82,0.999943,-0.0106964,20.9629,20.3041
-1214.44,-1812.05,0.999999,-0.00140297,20.5554,20.7486
-1214.71,-1798.84,0.999386,-0.0350352,20.5349,20.8057
-1215.1,-1785.63,0.99976,-0.0218971,20.816,20.5803
-1215.28,-1772.4,0.999954,-0.00963081,20.523,20.9101
-1215.49,-1759.57,0.999838,-0.0180129,20.5603,20.9094
-1215.57,-1746.31,0.99998,0.00637648,21.0609,20.4785
-1215.36,-1733.04,0.999812,0.0194018,20.6325,20.9436
-1215.32,-1720.16,0.99997,-0.00777074,20.6891,20.9232
-1215.3,-1706.85,0.999935,0.0113731,21.0062,20.662
-1215.06,-1693.54,0.999788,0.0205681,20.7544,20.9499
-1214.92,-1680.62,0.999989,0.00462611,20.7721,20.968
-1214.78,-1667.28,0.999853,0.0171424,20.8094,20.9664
-1214.47,-1653.92,0.999571,0.0292838,21.3502,20.4979
-1214.02,-1640.56,0.999572,0.0292398,20.844,21.0405
-1213.96,-1627.58,0.999884,-0.015204,20.9008,21.0191
-1214.08,-1614.18,0.999994,-0.00341327,21.2266,20.7504
-1214.09,-1600.76,0.999998,-0.00178849,20.8684,21.1443
-1214.3,-1587.33,0.999694,-0.0247387,20.9055,21.1426
-1214.52,-1574.31,0.999968,-0.00802292,21.449,20.6712
-1214.53,-1560.85,0.999996,-0.00299454,20.92,21.2363
-1214.88,-1547.38,0.999125,-0.0418191,20.9569,21.2346
-1215.33,-1533.47,0.999772,-0.0213401,21.4839,20.7784
-1215.51,-1520.39,0.999903,-0.0139583,21.01,21.288
-1215.98,-1506.87,0.998786,-0.0492587,20.9875,21.3455
-1216.52,-1493.77,0.999507,-0.031396,21.2247,21.1591
-1216.8,-1480.23,0.999919,-0.0127243,20.9908,21.4283
-1217,-1466.66,0.999929,-0.0118905,21.0277,21.4265
-1216.98,-1453.09,0.999876,0.0157203,21.5118,21.0102
-1216.62,-1439.93,0.999447,0.0332402,21.1185,21.4384
-1216.37,-1426.33,0.999956,0.00935643,21.1955,21.396
-1216.11,-1412.71,0.99959,0.0286331,21.2127,21.4133
-1215.64,-1399.09,0.99914,0.0414617,21.2096,21.4507
-1215.02,-1385.89,0.998525,0.0542883,21.8198,20.9124
-1214.18,-1372.26,0.998304,0.0582247,21.3031,21.4642
-1213.75,-1358.59,0.999941,0.0108701,21.3603,21.441
-1213.55,-1345.33,0.999799,0.0200564,21.7342,21.1226
-1213.24,-1331.64,0.999833,0.0183013,21.4455,21.4455
-1213.24,-1317.92,0.999892,-0.0147253,21.3814,21.5434
-1213.44,-1304.2,0.999918,-0.0127815,21.3982,21.5603
-1213.55,-1290.89,0.999996,-0.00273644,21.4415,21.5527
-1213.52,-1277.14,0.999975,0.00713173,22.0629,21.0118
-1213.39,-1263.81,0.999997,0.00240367,21.4329,21.6767
-1213.78,-1250.03,0.998653,-0.0518935,21.4498,21.6936
-1214.4,-1236.25,0.999341,-0.0363053,21.4974,21.6802
-1214.8,-1222.45,0.99977,-0.021439,21.9103,21.3375
-1215.02,-1209.06,0.999844,-0.0176623,21.4368,21.8449
-1215.49,-1195.23,0.99901,-0.0444973,21.4537,21.8618
-1215.93,-1181.82,0.999815,-0.0192088,21.5109,21.8381
-1216.03,-1167.96,0.999981,0.00610227,21.7366,21.6617
-1215.8,-1153.65,0.99972,0.0236766,21.5315,21.9001
-1215.5,-1139.77,0.999728,0.0233186,21.6092,21.8556
-1215.04,-1126.31,0.99899,0.0449385,21.6665,21.8312
-1214.31,-1112.42,0.998206,0.0598734,21.9475,21.601
-1213.44,-1098.96,0.997821,0.0659827,21.7494,21.8319
-1212.65,-1084.61,0.998833,0.0482897,21.8069,21.8069
-1211.96,-1071.12,0.998617,0.0525729,22.1534,21.515
-1211.23,-1057.18,0.998991,0.0449203,21.8714,21.83
-1210.87,-1043.64,0.999936,0.0113206,21.8668,21.8668
-1210.73,-1029.66,0.999959,0.00908653,22.5929,21.2193
-1210.62,-1015.66,0.999973,-0.00739583,21.8611,21.9856
-1211.25,-1002.1,0.996993,-0.0774975,21.8562,22.0226
-1212.29,-988.102,0.997613,-0.0690489,22.5662,21.3903
-1213.17,-974.526,0.997394,-0.0721469,21.7466,22.2442
-1214.67,-960.541,0.991467,-0.130361,21.5214,22.5044
-1216.29,-946.556,0.995673,-0.092928,21.5391,22.5223
-1217.17,-932.938,0.999484,-0.032108,21.6556,22.4405
-1217.21,-918.839,0.999585,0.028823,21.7326,22.3971
-1216.47,-904.747,0.99699,0.0775355,21.7493,22.4138
-1215.14,-891.131,0.99295,0.118534,21.9929,22.2025
-1213.19,-877.134,0.987733,0.156155,22.1345,22.0924
-1210.97,-863.613,0.986042,0.166495,22.1502,22.1082
-1208.63,-849.654,0.986486,0.163843,22.483,21.817
-1206.34,-835.677,0.98791,0.155028,22.4178,21.9147
-1204.42,-821.631,0.993434,0.11441,22.434,21.9308
-1203.04,-807.957,0.996518,0.0833726,22.6681,21.7428
-1202.08,-793.792,0.998853,0.0478724,22.4738,21.9701
-1201.79,-779.584,0.999975,-0.00711343,22.4276,22.0482
-1202.1,-765.365,0.999274,-0.0380972,22.317,22.1901
-1202.78,-751.593,0.998254,-0.0590659,22.3326,22.2057
-1203.67,-737.378,0.997742,-0.0671702,22.339,22.2368
-1204.65,-723.604,0.997201,-0.074772,22.5368,22.0954
-1205.76,-709.381,0.996409,-0.0846758,22.1836,22.4801
-1207.16,-695.166,0.994424,-0.105454,22.1777,22.5171
-1208.5,-681.384,0.996232,-0.086732,22.8477,21.9255
-1209.6,-667.122,0.99698,-0.077658,22.1696,22.6359
-1211.04,-653.318,0.992346,-0.123487,22.1637,22.6733
-1212.61,-639.066,0.995629,-0.0933934,22.8863,22.0268
-1213.75,-624.76,0.997218,-0.0745404,22.2383,22.7067
-1215.12,-610.906,0.993131,-0.117007,22.1905,22.7861
-1216.64,-596.152,0.996382,-0.0849901,22.2268,22.7812
-1217.61,-581.791,0.998877,-0.0473696,22.8747,22.2062
-1218.06,-567.844,0.999681,-0.0252397,22.2367,22.8759
-1218.7,-553.432,0.998491,-0.0549216,22.3148,22.8289
-1219.22,-539.005,0.999883,-0.0152919,22.3303,22.8444
-1219.22,-524.558,0.999845,0.0176076,22.3244,22.8814
-1218.76,-510.561,0.998759,0.0498067,23.0548,22.2223
-1217.8,-496.126,0.997237,0.0742875,22.4603,22.8478
-1217.08,-481.655,0.999446,0.0332678,22.6042,22.7339
-1216.43,-467.17,0.998461,0.0554668,22.6191,22.7488
-1215.6,-453.139,0.997982,0.0634948,22.7899,22.6136
-1214.62,-438.653,0.997636,0.0687255,22.6949,22.7382
-1213.7,-424.152,0.998219,0.0596574,22.7097,22.753
-1212.81,-409.64,0.99805,0.0624269,22.8759,22.6246
-1211.89,-395.119,0.99806,0.0622552,22.765,22.765
-1211.11,-381.035,0.998789,0.0492062,22.7798,22.7798
-1210.39,-366.481,0.998789,0.0492062,22.99,22.61
-1209.68,-351.918,0.998968,0.045411,22.8147,22.8147
-1209.18,-337.334,0.999671,0.0256665,22.8294,22.8294
-1208.82,-323.192,0.999671,0.0256665,23.0262,22.6733
-1208.44,-308.584,0.999755,0.0221389,22.8207,22.9081
-1208.27,-293.961,0.999992,0.00395993,22.8353,22.9227
-1208.17,-279.327,0.999954,0.00955118,23.0006,22.7961
-1208,-265.142,0.99992,0.0126337,22.8472,22.9786
-1207.91,-250.486,0.999996,0.00290883,22.8617,22.9931
-1207.81,-235.821,0.999936,0.0113157,23.0212,22.8718
-1207.58,-221.148,0.999857,0.0169154,22.8951,23.0268
-1207.4,-206.462,0.999948,0.0101656,22.9095,23.0412
-1207.2,-192.227,0.999832,0.0183297,23.042,22.9437
-1206.87,-177.525,0.999701,0.0244578,22.9632,23.0512
-1206.56,-162.811,0.999799,0.0200325,22.9775,23.0655
-1206.22,-148.09,0.999671,0.025665,23.0749,23.002
-1205.82,-133.821,0.999555,0.029834,23.0307,23.0748
-1205.41,-119.081,0.999659,0.0261037,23.0449,23.089
-1205.01,-104.332,0.999582,0.0289267,23.135,23.0322
-1204.56,-89.5743,0.999541,0.0302811,23.0978,23.0978
-1204.16,-74.8051,0.999694,0.0247325,23.1707,23.0555
-1203.8,-60.0258,0.999722,0.0235807,23.1493,23.105
-1203.5,-45.6979,0.999855,0.0170058,23.6636,22.6511
-1203.28,-30.8964,0.999979,0.00642634,23.172,23.172
-1203.62,-16.081,0.998836,-0.0482277,23.186,23.186
-1204.34,-1.26706,0.998836,-0.0482277,23.2317,23.1718
-1205.03,13.0925,0.998813,-0.0487065,23.6693,22.8002
-1205.79,27.9249,0.998161,-0.0606155,23.0937,23.4049
-1207.07,42.7395,0.994548,-0.104282,23.1075,23.4192
-1208.44,57.0891,0.996375,-0.0850665,23.1371,23.4202
-1209.57,71.9358,0.997855,-0.0654575,23.6195,22.9976
-1210.43,86.8118,0.998408,-0.0564064,23.0559,23.5898
-1211.54,101.688,0.996417,-0.0845792,23.1138,23.5603
-1212.54,116.114,0.998625,-0.0524286,23.4128,23.3077
-1213.12,131.04,0.999568,-0.0293881,23.0846,23.6641
-1213.61,145.984,0.999572,-0.0292684,23.1646,23.6123
-1213.79,160.475,0.999986,0.00534189,23.1786,23.6263
-1213.49,175.909,0.999391,0.0348827,23.3926,23.45
-1212.8,190.403,0.998275,0.0587123,23.3226,23.5474
-1211.89,205.367,0.997947,0.0640504,23.3363,23.5611
-1210.87,219.861,0.996957,0.0779527,23.6176,23.3196
-1209.6,234.816,0.996201,0.0870822,23.5047,23.4596
-1208.42,249.791,0.997505,0.0705924,23.5183,23.4732
-1207.41,264.316,0.997699,0.0678026,23.7988,23.2319
-1206.42,279.322,0.998216,0.0597139,23.5968,23.4612
-1205.79,293.888,0.999607,0.0280463,23.6103,23.4747
-1205.43,308.943,0.999812,0.0193702,23.7689,23.3519
-1205.2,324.01,0.999969,0.00787747,23.5739,23.5739
-1205.26,339.089,0.999893,-0.014643,23.5873,23.5873
-1205.48,353.704,0.999893,-0.014643,23.6721,23.535
-1205.7,368.8,0.999872,-0.0160135,23.5261,23.7077
-1205.99,383.432,0.999759,-0.0219613,23.5393,23.7212
-1206.24,398.546,0.999947,-0.0103385,23.6344,23.6579
-1206.32,413.67,1,-0.000284481,23.5684,23.7504
-1206.31,428.331,0.999997,0.00243869,23.6043,23.741
-1206.19,443.474,0.999907,0.0136327,24.4446,22.9761
-1205.93,458.625,0.99998,0.00633009,23.6564,23.7932
-1206.49,473.785,0.997438,-0.0715401,23.6922,23.7837
-1207.49,488.462,0.99798,-0.0635276,24.5414,23.0097
-1208.45,504.103,0.997281,-0.0736989,23.5621,24.0183
-1210.17,518.739,0.988942,-0.148303,23.5976,24.0094
-1212.23,533.826,0.992797,-0.11981,24.4443,23.2392
-1213.88,548.973,0.993966,-0.109692,23.4255,24.2872
-1215.99,563.601,0.986589,-0.163227,23.4829,24.2577
-1218.1,578.723,0.993991,-0.10946,23.7904,23.9966
-1219.39,593.466,0.99781,-0.066146,23.3873,24.4278
-1220.3,608.731,0.999003,-0.0446387,23.511,24.3324
-1220.51,624.029,0.999805,0.0197438,23.5248,24.3463
-1219.83,639.323,0.997386,0.0722545,23.6722,24.2274
-1218.4,654.094,0.992674,0.120825,23.6646,24.2616
-1216.3,669.277,0.987689,0.156429,24.7708,23.2286
-1213.64,684.384,0.984919,0.173018,24.1295,23.8982
-1211.72,699.135,0.995827,0.0912601,24.1423,23.911
-1210.42,714.45,0.997069,0.0765081,24.5521,23.5445
-1209.39,729.311,0.998431,0.0560015,24.1544,23.9687
-1208.98,744.695,1,-0.000234387,24.167,23.9814
-1209.07,760.095,0.999927,-0.0121171,24.3714,23.8149
-1209.33,775.02,0.999646,-0.0265931,24.0127,24.199
-1210.03,790.907,0.998438,-0.0558682,24.0253,24.2116
-1210.78,805.834,0.999017,-0.0443352,24.1019,24.1684
-1211.38,821.26,0.999435,-0.0336204,23.9383,24.3572
-1211.86,836.699,0.999666,-0.0258458,23.9509,24.3699
-1212.07,852.153,1,0.000965221,24.141,24.2147
-1211.86,867.615,0.999704,0.0243262,24.0036,24.3771
-1211.45,883.085,0.999487,0.0320374,24.0162,24.3896
-1210.81,898.069,0.998477,0.0551677,24.3476,24.0953
-1209.75,914.009,0.997294,0.0735201,24.1636,24.3041
-1208.75,928.994,0.998087,0.0618295,24.2696,24.2227
-1207.73,944.471,0.997622,0.0689288,24.3288,24.1881
-1206.68,959.954,0.997885,0.0649985,24.7114,23.8515
-1205.74,975.453,0.998807,0.0488275,24.3411,24.2472
-1205.37,990.502,0.999995,0.00319409,24.2828,24.3299
-1205.37,1006.05,0.999999,-0.00140878,24.295,24.342
-1205.37,1021.61,0.999999,0.00160273,24.4812,24.1934
-1205.32,1037.17,0.999999,0.00126538,24.1614,24.5377
-1205.43,1052.75,0.999945,-0.0105144,24.1737,24.5501
-1205.43,1067.85,0.999918,0.0128214,24.3643,24.3949
-1205.05,1083.44,0.99944,0.0334491,24.1798,24.6038
-1204.51,1099.03,0.999226,0.039341,24.192,24.6162
-1203.7,1114.62,0.99779,0.0664428,24.4208,24.4206
-1202.47,1130.19,0.996007,0.0892732,24.3617,24.5037
-1201.07,1145.76,0.99588,0.0906797,24.3737,24.5157
-1199.64,1160.84,0.995043,0.0994443,23.8444,25.0724
-1198.01,1176.4,0.992861,0.119274,26.8538,22.177
-1195.61,1191.87,0.990341,0.138655,26.9257,22.2439
-1195.63,1207.51,0.987186,-0.159576,24.7054,24.5149
-1200.03,1222.05,0.918858,-0.394589,24.6935,24.5502
-1206.33,1236.49,0.914172,-0.405327,25.705,23.6161
-1212.79,1250.86,0.902195,-0.431329,23.5393,25.8213
-1220.18,1264.24,0.861911,-0.507059,23.5593,25.8417
-1227.23,1278.36,0.926529,-0.376223,23.4866,25.9568
-1232.04,1292.89,0.970692,-0.240328,23.1593,26.3393
-1234.69,1308.47,0.996886,-0.0788528,23.1887,26.3699
-1234.43,1324.29,0.992248,0.124275,23.7292,25.8738
-1230.98,1339.74,0.949918,0.312499,24.528,25.104
-1225.07,1354.46,0.905011,0.425388,24.5398,25.1158
-1218.3,1368.28,0.889245,0.457431,25.0081,24.6708
-1210.79,1382.28,0.875338,0.483511,25.3744,24.329
-1203.02,1396.72,0.889149,0.457618,25.3874,24.3419
-1196.39,1410.62,0.916922,0.399067,25.8975,23.8716
-1190.5,1425.41,0.944811,0.327617,25.6923,24.1088
-1186.21,1440.73,0.978334,0.207033,25.7074,24.1237
-1183.71,1455.96,0.993917,0.110136,25.9853,23.8934
-1182.71,1471.87,0.999988,0.00493787,25.3387,24.5686
-1183.62,1487.8,0.993311,-0.115467,25.3507,24.5805
-1185.83,1503.61,0.986416,-0.164265,25.0815,24.883
-1188.82,1519.31,0.978325,-0.207076,24.6554,25.332
-1192.21,1534.93,0.977499,-0.210941,24.6671,25.3437
-1195.27,1550.64,0.985714,-0.168428,24.3996,25.6364
-1197.64,1566.46,0.992769,-0.120037,24.3672,25.6958
-1198.95,1581.91,0.999079,-0.0428992,24.3807,25.7094
-1198.63,1604.43,0.997063,0.0765859,24.5536,25.5624
-1196.77,1620.35,0.987465,0.157838,24.7306,25.4093
-1193.87,1635.61,0.976244,0.216676,24.7421,25.4209
-1190.08,1651.2,0.965913,0.258867,25.3008,24.8869
-1185.61,1666.62,0.956987,0.290132,25.4452,24.7653
-1181.15,1682.04,0.965037,0.262115,25.4567,24.7768
-1177.36,1697.14,0.975226,0.221213,26.0109,24.267
-1174.14,1712.89,0.98577,0.168098,25.6123,24.6923
-1172.26,1728.86,0.997854,0.0654823,25.6243,24.7043
-1171.65,1744.94,0.999978,0.0066508,25.8111,24.5602
-1171.96,1760.54,0.998594,-0.0530126,25.2465,25.1482
-1173.41,1776.59,0.992619,-0.121273,25.2572,25.1589
-1175.41,1792.6,0.991837,-0.127514,25.1522,25.2978
-1177.52,1808.59,0.991338,-0.131333,24.7982,25.6744
-1179.56,1824.61,0.993384,-0.114836,24.8099,25.6862
-1180.99,1840.69,0.998259,-0.058978,24.7706,25.7506
-1181.52,1856.34,0.999993,-0.00364463,27.7075,22.89
-1181.13,1872.5,0.999919,0.0126949,27.1279,23.5505
-1183.24,1888.49,0.960159,-0.279453,25.0628,25.6531
-1189.37,1903.47,0.891342,-0.453332,25.0739,25.6641
-1196.47,1918.07,0.907828,-0.419342,24.4221,26.3435
-1203.01,1932.93,0.928056,-0.37244,23.9517,26.8563
-1208.04,1947.83,0.968246,-0.250001,23.99,26.8658
-1210.71,1963.85,0.997751,-0.067025,24.076,26.8317
-1210.4,1980.1,0.993305,0.115517,24.3263,26.6209
-1207.2,1996.05,0.958947,0.283585,24.7416,26.2363
-1201.73,2010.86,0.912354,0.409402,24.755,26.2498
-1194.39,2025.42,0.869077,0.494676,25.6137,25.4143
-1185.71,2039.23,0.827483,0.561491,25.9931,25.0566
-1176.62,2052.8,0.838617,0.544721,26.0046,25.068
-1168.11,2066.74,0.869741,0.493509,27.1302,23.9952
-1160.47,2081.19,0.90721,0.420677,26.5736,24.5909
-1155.01,2096.58,0.97012,0.242624,26.5894,24.6067
-1151.99,2112.67,0.993025,0.117901,27.0039,24.2463
-1151.04,2129.01,0.999864,-0.0164651,25.915,25.3652
-1152.64,2145.31,0.985436,-0.170046,25.9253,25.3756
-1155.7,2161.44,0.978844,-0.204606,25.8164,25.515
-1159.32,2177.45,0.971632,-0.236498,25.2532,26.0992
-1163.21,2192.88,0.969901,-0.243499,25.264,26.1102
-1166.8,2208.91,0.981659,-0.190648,25.1086,26.2935
-1169.52,2225.13,0.990998,-0.133877,25.0039,26.4228
-1171.14,2241.49,0.998426,-0.0560777,25.0165,26.4355
-1171.37,2257.94,0.999398,0.0346957,25.2409,26.2348
-1170.1,2274.35,0.992656,0.120973,25.4226,26.0745
-1167.72,2290.13,0.983938,0.178513,25.4329,26.0849
-1164.46,2306.28,0.975635,0.219401,26.1241,25.4263
-1160.54,2322.3,0.969053,0.246853,26.1864,25.3851
-1156.8,2338.36,0.979317,0.202332,26.5696,25.042
-1153.86,2354.6,0.989479,0.14468,26.3407,25.2949
-1152.24,2370.51,0.998524,0.0543076,26.2793,25.3781
-1151.86,2387.03,0.999938,-0.0111508,26.2901,25.3888
-1152.49,2403.55,0.997632,-0.0687747,26.1619,25.5489
-1154.01,2419.49,0.992518,-0.122097,25.8145,25.916
-1156.33,2435.88,0.987869,-0.155287,25.8241,25.9256
