1170	-5100	1	0
1170	-5100	1	0
1170	-5100	1	0
1170	-5100	1	0
1170	-5100	1	0
1170	-5100	1	0
1170	-5100	1	0
1170	-5100	1	0
1170	-5100	1	0
1170	-5100	1	0
1170	-5100	1	0
1170	-5100	1	0
1170	-5100	1	0
1170	-5100	1	0
1170	-5100	1	-5.55512e-05
1170	-5100	1	-0.00022221
1170	-5100	1	-0.000499944
1170	-5099.99	1	-0.000888717
1170	-5099.99	0.999999	-0.00138854
1170	-5099.98	0.999998	-0.00199943
1170	-5099.98	0.999996	-0.00272139
1170	-5099.97	0.999994	-0.00355432
1170	-5099.96	0.99999	-0.00449812
1170	-5099.95	0.999985	-0.00555279
1170	-5099.94	0.999977	-0.00671835
1170	-5099.93	0.999968	-0.00799471
1170	-5099.92	0.999956	-0.00938179
1170	-5099.91	0.999941	-0.0108796
1170	-5099.89	0.999922	-0.0124881
1170	-5099.88	0.999899	-0.0142074
1170	-5099.86	0.999871	-0.0160372
1170	-5099.84	0.999838	-0.0179776
1170	-5099.83	0.999799	-0.0200284
1170	-5099.81	0.999754	-0.0221897
1170	-5099.79	0.999701	-0.0244612
1170	-5099.77	0.99964	-0.0268426
1170	-5099.74	0.99957	-0.0293339
1170	-5099.72	0.99949	-0.031935
1169.99	-5099.7	0.9994	-0.034646
1169.99	-5099.67	0.999298	-0.0374664
1169.99	-5099.65	0.999184	-0.040396
1169.99	-5099.62	0.999056	-0.0434348
1169.99	-5099.59	0.998914	-0.0465826
1169.99	-5099.57	0.998757	-0.0498394
1169.99	-5099.54	0.998584	-0.0532048
1169.99	-5099.51	0.998392	-0.0566786
1169.98	-5099.47	0.998183	-0.0602606
1169.98	-5099.44	0.997953	-0.0639508
1169.98	-5099.41	0.997702	-0.0677487
1169.98	-5099.37	0.99743	-0.0716541
1169.98	-5099.34	0.997133	-0.0756669
1169.97	-5099.3	0.996812	-0.0797868
1169.97	-5099.27	0.996465	-0.0840137
1169.97	-5099.23	0.99609	-0.0883471
1169.96	-5099.19	0.995686	-0.0927865
1169.96	-5099.15	0.995252	-0.0973318
1169.95	-5099.11	0.994786	-0.101983
1169.95	-5099.07	0.994269	-0.10691
1169.94	-5099.02	0.993645	-0.112562
1169.94	-5098.96	0.992826	-0.119565
1169.93	-5098.88	0.99168	-0.12873
1169.91	-5098.78	0.99006	-0.140646
1169.9	-5098.65	0.987845	-0.155439
1169.87	-5098.5	0.984905	-0.173093
1169.84	-5098.32	0.981084	-0.193583
1169.8	-5098.12	0.9762	-0.216874
1169.75	-5097.9	0.973383	-0.229186
1169.69	-5097.65	0.973386	-0.22917
1169.62	-5097.38	0.97339	-0.229155
1169.55	-5097.08	0.973393	-0.229142
1169.48	-5096.76	0.973396	-0.22913
1169.39	-5096.41	0.973415	-0.229049
1169.31	-5096.04	0.973451	-0.228897
1169.21	-5095.64	0.973486	-0.228747
1169.12	-5095.22	0.973521	-0.228599
1169.01	-5094.78	0.973563	-0.22842
1168.9	-5094.32	0.973611	-0.228213
1168.8	-5093.86	0.973659	-0.228011
1168.69	-5093.39	0.973706	-0.22781
1168.58	-5092.93	0.973753	-0.227609
1168.47	-5092.46	0.973801	-0.227401
1168.36	-5092	0.973851	-0.227186
1168.25	-5091.53	0.973902	-0.226971
1168.14	-5091.06	0.973952	-0.226756
1168.03	-5090.6	0.974002	-0.226541
1167.92	-5090.13	0.974052	-0.226325
1167.82	-5089.66	0.974102	-0.226108
1167.71	-5089.19	0.974153	-0.225891
1167.6	-5088.72	0.974202	-0.22568
1167.49	-5088.24	0.974249	-0.225476
1167.38	-5087.77	0.974293	-0.225285
1167.27	-5087.3	0.974333	-0.22511
1167.16	-5086.82	0.97437	-0.22495
1167.05	-5086.35	0.974405	-0.2248
1166.94	-5085.87	0.974438	-0.224656
1166.83	-5085.39	0.974471	-0.224515
1166.72	-5084.92	0.974502	-0.224378
1166.61	-5084.44	0.974534	-0.224241
1166.5	-5083.96	0.974567	-0.224094
1166.39	-5083.48	0.974603	-0.223938
1166.28	-5083	0.974638	-0.223786
1166.17	-5082.52	0.974672	-0.223641
1166.06	-5082.03	0.974702	-0.22351
1165.95	-5081.55	0.974729	-0.223392
1165.84	-5081.07	0.974754	-0.22328
1165.72	-5080.58	0.974779	-0.223173
1165.61	-5080.1	0.974801	-0.223074
1165.5	-5079.61	0.974821	-0.222989
1165.39	-5079.12	0.974838	-0.222916
1165.28	-5078.63	0.974851	-0.222857
1165.17	-5078.15	0.974863	-0.222807
1165.06	-5077.66	0.974873	-0.22276
1164.94	-5077.17	0.974885	-0.222708
1164.83	-5076.68	0.974899	-0.222646
1164.72	-5076.18	0.974915	-0.222577
1164.61	-5075.69	0.974931	-0.222507
1164.49	-5075.2	0.974947	-0.222437
1164.38	-5074.7	0.974963	-0.222367
1164.27	-5074.21	0.974979	-0.222297
1164.16	-5073.71	0.974994	-0.222233
1164.04	-5073.22	0.975006	-0.222177
1163.93	-5072.72	0.975017	-0.222129
1163.82	-5072.22	0.975027	-0.222086
1163.7	-5071.72	0.975035	-0.222052
1163.59	-5071.22	0.97504	-0.222028
1163.47	-5070.72	0.975044	-0.222013
1163.36	-5070.22	0.975058	-0.221951
1163.25	-5069.72	0.975083	-0.22184
1163.13	-5069.21	0.975108	-0.221731
1163.01	-5068.7	0.975132	-0.221623
1162.9	-5068.19	0.975158	-0.221509
1162.78	-5067.67	0.975186	-0.221389
1162.66	-5067.15	0.975211	-0.221277
1162.54	-5066.63	0.975234	-0.221176
1162.42	-5066.1	0.975254	-0.221089
